Title: Primitive mantle composition from McDonough & Sun (1995),

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 garnet_0 orthopyroxene_0 clinopyroxene_0 biotite_0 spinel_0 whitlockite 
10820.30 1607.63 99.961777 15.379074 55.624131 0.000000 19.732058 7.293704 0.000000 1.932811 0.000000 
10527.50 1607.32 99.961185 16.609650 56.116242 0.000000 19.095210 6.327013 0.000000 1.813070 0.000000 
10234.80 1607.02 99.960572 17.934237 56.664103 0.000000 18.393901 5.279429 0.000000 1.688902 0.000000 
9942.09 1606.72 99.959958 19.338257 57.266843 0.000000 17.630187 4.161314 0.000000 1.563356 0.000000 
9649.39 1606.42 99.959367 20.803464 57.921107 0.000000 16.808635 2.986333 0.000000 1.439829 0.000000 
9356.70 1606.11 99.958825 22.305702 58.620734 0.000000 15.936804 1.773620 0.000000 1.321965 0.000000 
9064.04 1605.81 99.958356 23.829859 59.359988 0.000000 15.020631 0.535558 0.000000 1.212320 0.000000 
8771.39 1605.51 99.958056 24.957184 60.066840 0.000000 13.800650 0.000000 0.000000 1.133382 0.000000 
8478.75 1605.21 99.957841 25.803236 60.758239 0.000000 12.321858 0.000000 0.000000 1.074508 0.000000 
8186.14 1604.91 99.957639 26.676185 61.484794 0.000000 10.777737 0.000000 0.000000 1.018923 0.000000 
7893.54 1604.60 99.957457 27.575477 62.247020 0.000000 9.168077 0.000000 0.000000 0.966883 0.000000 
7600.96 1604.30 99.957300 28.505677 63.046798 0.000000 7.486477 0.000000 0.000000 0.918349 0.000000 
7308.40 1604.00 99.957176 29.467207 63.885008 0.000000 5.731518 0.000000 0.000000 0.873443 0.000000 
7015.85 1603.70 99.957090 30.462868 64.763371 0.000000 3.898733 0.000000 0.000000 0.832119 0.000000 
6723.33 1603.40 99.957051 31.496286 65.684050 0.000000 1.982462 0.000000 0.000000 0.794253 0.000000 
6430.81 1603.09 99.957069 32.559796 66.637295 0.000000 0.000000 0.000000 0.000000 0.759979 0.000000 
6138.32 1602.79 99.957696 32.688179 66.516538 0.000000 0.000000 0.000000 0.000000 0.752979 0.000000 
5845.85 1602.49 99.958340 32.819828 66.392549 0.000000 0.000000 0.000000 0.000000 0.745963 0.000000 
5553.39 1602.19 99.959001 32.954845 66.265228 0.000000 0.000000 0.000000 0.000000 0.738928 0.000000 
5260.95 1601.88 99.959678 33.092535 66.135254 0.000000 0.000000 0.000000 0.000000 0.731889 0.000000 
4968.52 1601.58 99.960375 33.234577 66.000996 0.000000 0.000000 0.000000 0.000000 0.724802 0.000000 
4676.12 1601.28 99.961090 33.380288 65.863120 0.000000 0.000000 0.000000 0.000000 0.717682 0.000000 
4383.73 1600.98 99.961824 33.529790 65.721510 0.000000 0.000000 0.000000 0.000000 0.710524 0.000000 
4091.36 1600.68 99.962578 33.683193 65.576063 0.000000 0.000000 0.000000 0.000000 0.703323 0.000000 
3799.00 1600.38 99.963351 33.840619 65.426660 0.000000 0.000000 0.000000 0.000000 0.696072 0.000000 
3506.67 1600.07 99.964144 34.001315 65.274041 0.000000 0.000000 0.000000 0.000000 0.688789 0.000000 
3214.35 1599.77 99.964960 34.167133 65.116405 0.000000 0.000000 0.000000 0.000000 0.681422 0.000000 
2922.05 1599.47 99.965797 34.337345 64.954464 0.000000 0.000000 0.000000 0.000000 0.673988 0.000000 
2629.76 1599.17 99.966656 34.512091 64.788086 0.000000 0.000000 0.000000 0.000000 0.666479 0.000000 
2337.50 1598.87 99.967539 34.691496 64.617156 0.000000 0.000000 0.000000 0.000000 0.658887 0.000000 
2045.25 1598.56 99.968443 34.874778 64.442435 0.000000 0.000000 0.000000 0.000000 0.651230 0.000000 
1753.02 1598.26 99.969372 35.063933 64.261989 0.000000 0.000000 0.000000 0.000000 0.643450 0.000000 
1460.80 1597.96 99.970326 35.258198 64.076565 0.000000 0.000000 0.000000 0.000000 0.635563 0.000000 
1168.61 1597.66 99.971306 35.457712 63.886034 0.000000 0.000000 0.000000 0.000000 0.627560 0.000000 
