Title: Primitive mantle composition from McDonough & Sun (1995),

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MgO CaO Na2O K2O P2O5 H2O 
22544.60 1619.74 99.953065 45.0211 0.201094 4.45209 0.28026 0.38418 7.8016 37.8177 3.55167 0.360169 0.0290136 0.0210099 0.0800376
22251.10 1619.44 99.953760 45.0208 0.201093 4.45206 0.287201 0.384178 7.7953 37.8175 3.55164 0.360167 0.0290134 0.0210097 0.080037
21957.70 1619.13 99.954510 45.0205 0.201091 4.45203 0.294683 0.384175 7.78851 37.8172 3.55162 0.360164 0.0290132 0.0210096 0.0800364
21664.30 1618.83 99.955323 45.0201 0.20109 4.45199 0.302803 0.384172 7.78113 37.8169 3.55159 0.360161 0.029013 0.0210094 0.0800358
21370.90 1618.53 99.956210 45.0197 0.201088 4.45195 0.311651 0.384168 7.7731 37.8166 3.55156 0.360158 0.0290127 0.0210092 0.080035
21077.50 1618.22 99.957180 45.0193 0.201086 4.45191 0.321337 0.384165 7.76431 37.8162 3.55152 0.360154 0.0290124 0.021009 0.0800343
20784.20 1617.92 99.958250 45.0188 0.201084 4.45186 0.332022 0.38416 7.75461 37.8158 3.55148 0.36015 0.0290121 0.0210088 0.0800334
20490.80 1617.62 99.959439 45.0183 0.201082 4.45181 0.343889 0.384156 7.74383 37.8153 3.55144 0.360146 0.0290118 0.0210085 0.0800325
20197.50 1617.31 99.960768 45.0177 0.201079 4.45175 0.357156 0.384151 7.73179 37.8148 3.55139 0.360141 0.0290114 0.0210082 0.0800314
19904.20 1617.01 99.962271 45.017 0.201076 4.45168 0.372152 0.384145 7.71817 37.8143 3.55134 0.360136 0.0290109 0.0210079 0.0800302
19610.90 1616.71 99.963985 45.0162 0.201072 4.4516 0.389268 0.384138 7.70263 37.8136 3.55128 0.36013 0.0290104 0.0210076 0.0800288
19317.60 1616.40 99.964901 45.0158 0.201071 4.45156 0.398407 0.384135 7.69434 37.8133 3.55125 0.360126 0.0290102 0.0210074 0.0800281
19024.40 1616.10 99.965014 45.0157 0.20107 4.45156 0.399532 0.384134 7.69331 37.8132 3.55124 0.360126 0.0290101 0.0210073 0.080028
18731.20 1615.80 99.965121 45.0157 0.20107 4.45155 0.400599 0.384134 7.69235 37.8132 3.55124 0.360126 0.0290101 0.0210073 0.0800279
18437.90 1615.50 99.965221 45.0157 0.20107 4.45155 0.401603 0.384134 7.69143 37.8132 3.55124 0.360125 0.0290101 0.0210073 0.0800278
18144.70 1615.19 99.965315 45.0156 0.20107 4.45154 0.402535 0.384133 7.69059 37.8131 3.55123 0.360125 0.0290101 0.0210073 0.0800278
17851.60 1614.89 99.965401 45.0156 0.20107 4.45154 0.403395 0.384133 7.68981 37.8131 3.55123 0.360125 0.02901 0.0210073 0.0800277
17558.40 1614.59 99.965479 45.0155 0.201069 4.45154 0.404174 0.384133 7.6891 37.8131 3.55123 0.360124 0.02901 0.0210073 0.0800276
