Title: Sanloup as cited by Taylor et al. (2014)

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-QFM rhol rhos viscosity aH2O chisqr
84238.30 2082.29 100.027914 0.0430657712733350 0.049019 275.706738 -889981.758468 29.079811 -12.603609 799.936184 121.381084 -3.448 0.000 3.022027 3.461305 -0.543 0 0.000
83941.40 2081.77 100.028137 0.0434882568010891 0.049490 275.728725 -890803.918565 29.088064 -12.546563 799.907738 121.421316 -3.451 0.000 3.021750 3.460518 -0.546 0 0.000
83644.50 2081.25 100.028361 0.0439236452641901 0.049976 275.751521 -891624.660205 29.096403 -12.486474 799.778065 121.461982 -3.454 0.000 3.021516 3.459725 -0.550 0 0.000
83347.70 2080.73 100.028585 0.0443720071806049 0.050474 275.775107 -892443.730982 29.104825 -12.423358 799.547412 121.503072 -3.457 0.000 3.021327 3.458926 -0.553 0 0.000
83050.90 2080.21 100.028808 0.0448337790798875 0.050987 275.799505 -893261.377647 29.113332 -12.357183 799.215415 121.544610 -3.460 0.000 3.021187 3.458120 -0.557 0 0.000
82754.10 2079.69 100.029032 0.0453092172835777 0.051514 275.824715 -894077.598745 29.121925 -12.287945 798.782197 121.586603 -3.463 0.000 3.021097 3.457307 -0.561 0 0.000
82457.30 2079.17 100.029256 0.0457985779418168 0.052056 275.850738 -894892.393851 29.130601 -12.215645 798.248011 121.629058 -3.466 0.000 3.021059 3.456487 -0.565 0 0.000
82160.50 2078.64 100.029479 0.0462998840421271 0.052610 275.876811 -895707.346250 29.139338 -12.140663 797.632780 121.671856 -3.469 0.000 3.021070 3.455662 -0.569 0 0.000
81863.70 2078.12 100.029702 0.0468178165197898 0.053181 275.904460 -896519.295846 29.148179 -12.062261 796.898141 121.715257 -3.472 0.000 3.021143 3.454829 -0.574 0 0.000
81567.00 2077.60 100.029924 0.0473502269608865 0.053767 275.932898 -897329.577236 29.157098 -11.980848 796.064591 121.759127 -3.474 0.000 3.021276 3.453989 -0.578 0 0.000
81270.20 2077.08 100.030146 0.0478978226207263 0.054369 275.962174 -898138.682313 29.166100 -11.896367 795.131503 121.803508 -3.477 0.000 3.021468 3.453141 -0.582 0 0.000
80973.50 2076.56 100.030367 0.0484604258436440 0.054986 275.992239 -898946.123031 29.175178 -11.808899 794.100900 121.848375 -3.480 0.000 3.021721 3.452287 -0.587 0 0.000
80676.80 2076.04 100.030587 0.0490385408470792 0.055619 276.023117 -899752.145250 29.184334 -11.718421 792.972859 121.893753 -3.483 0.000 3.022036 3.451426 -0.591 0 0.000
80380.10 2075.52 100.030806 0.0496324583492355 0.056268 276.054810 -900556.749259 29.193568 -11.624945 791.748125 121.939652 -3.486 0.000 3.022414 3.450558 -0.596 0 0.000
80083.50 2075.00 100.031025 0.0502422262030782 0.056933 276.087294 -901359.692368 29.202873 -11.528523 790.428286 121.986065 -3.489 0.000 3.022857 3.449683 -0.600 0 0.000
