Title: Sanloup as cited by Taylor et al. (2014)

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 garnet_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 
32237.60 1947.58 100.096090 31.051312 12.161388 0.000000 0.000000 18.889924 0.000000 0.000000 
31943.60 1947.06 100.096278 31.060853 12.208670 0.000000 0.000000 18.852183 0.000000 0.000000 
31649.60 1946.54 100.096473 31.070654 12.257001 0.000000 0.000000 18.813653 0.000000 0.000000 
31355.60 1946.02 100.096673 31.080719 12.306410 0.000000 0.000000 18.774309 0.000000 0.000000 
31061.70 1945.50 100.096879 31.091049 12.356906 0.000000 0.000000 18.734143 0.000000 0.000000 
30767.80 1944.99 100.097091 31.101681 12.408727 0.000000 0.000000 18.692954 0.000000 0.000000 
30473.90 1944.47 100.097309 31.112563 12.461537 0.000000 0.000000 18.651026 0.000000 0.000000 
30180.00 1943.95 100.097533 31.123728 12.515553 0.000000 0.000000 18.608175 0.000000 0.000000 
29886.10 1943.43 100.097763 31.135182 12.570809 0.000000 0.000000 18.564373 0.000000 0.000000 
29592.20 1942.91 100.097999 31.146930 12.627341 0.000000 0.000000 18.519589 0.000000 0.000000 
29298.40 1942.39 100.098242 31.158972 12.685163 0.000000 0.000000 18.473809 0.000000 0.000000 
29004.50 1941.87 100.098490 31.171324 12.744361 0.000000 0.000000 18.426963 0.000000 0.000000 
28710.70 1941.35 100.098745 31.183983 12.804928 0.000000 0.000000 18.379056 0.000000 0.000000 
28416.90 1940.83 100.099007 31.196959 12.866928 0.000000 0.000000 18.330031 0.000000 0.000000 
28123.10 1940.31 100.099274 31.210259 12.930406 0.000000 0.000000 18.279854 0.000000 0.000000 
27829.40 1939.79 100.099548 31.223885 12.995380 0.000000 0.000000 18.228505 0.000000 0.000000 
27535.60 1939.28 100.099828 31.237888 13.062178 0.000000 0.000000 18.175709 0.000000 0.000000 
27241.90 1938.76 100.100116 31.252196 13.130342 0.000000 0.000000 18.121853 0.000000 0.000000 
26948.20 1938.24 100.100410 31.266856 13.200173 0.000000 0.000000 18.066682 0.000000 0.000000 
26654.50 1937.72 100.100711 31.281876 13.271724 0.000000 0.000000 18.010152 0.000000 0.000000 
26360.80 1937.20 100.101019 31.297264 13.345049 0.000000 0.000000 17.952215 0.000000 0.000000 
26067.20 1936.68 100.101334 31.313022 13.420174 0.000000 0.000000 17.892848 0.000000 0.000000 
25773.50 1936.16 100.101657 31.329172 13.497219 0.000000 0.000000 17.831952 0.000000 0.000000 
25479.90 1935.64 100.101987 31.345709 13.576183 0.000000 0.000000 17.769526 0.000000 0.000000 
25186.30 1935.12 100.102324 31.362651 13.657161 0.000000 0.000000 17.705490 0.000000 0.000000 
24892.70 1934.60 100.102669 31.380006 13.740219 0.000000 0.000000 17.639787 0.000000 0.000000 
24599.10 1934.08 100.103022 31.397786 13.825426 0.000000 0.000000 17.572359 0.000000 0.000000 
24305.60 1933.56 100.103384 31.415993 13.912820 0.000000 0.000000 17.503174 0.000000 0.000000 
24012.00 1933.04 100.103753 31.434654 14.002544 0.000000 0.000000 17.432110 0.000000 0.000000 
23718.50 1932.52 100.104131 31.453765 14.094606 0.000000 0.000000 17.359159 0.000000 0.000000 
23425.00 1932.00 100.104518 31.473347 14.189123 0.000000 0.000000 17.284224 0.000000 0.000000 
23131.50 1931.48 100.104914 31.493411 14.286180 0.000000 0.000000 17.207231 0.000000 0.000000 
22838.00 1930.96 100.105319 31.513972 14.385866 0.000000 0.000000 17.128106 0.000000 0.000000 
22544.60 1930.44 100.105734 31.535035 14.488233 0.000000 0.000000 17.046802 0.000000 0.000000 
22251.10 1929.92 100.106158 31.556632 14.593460 0.000000 0.000000 16.963172 0.000000 0.000000 
21957.70 1929.40 100.106592 31.578762 14.701565 0.000000 0.000000 16.877197 0.000000 0.000000 
21664.30 1928.87 100.107038 31.601396 14.812341 0.000000 0.000000 16.789055 0.000000 0.000000 
21370.90 1928.35 100.107493 31.624654 14.926599 0.000000 0.000000 16.698055 0.000000 0.000000 
21077.50 1927.83 100.107960 31.648504 15.044109 0.000000 0.000000 16.604395 0.000000 0.000000 
20784.20 1927.31 100.108438 31.672955 15.164946 0.000000 0.000000 16.508009 0.000000 0.000000 
