'Ocean concentrations in mol/(kg H2O)'
'Time (Gyr)' 	 'Mocean (kg)' 	 'Mriver (kg)' 	 'Seafloor weathering volume (m3)' 	 'Ocean pH' 	 'Seawater-seafloor equil pH' 	 'Ocean log f(O2) at Tsurf0' 	 'Rain pH' 	 'Ox C(aq)' 	 'Red C(aq)' 	 Mg(aq) 	 Ca(aq) 	 Fe(aq) 	 Si(aq) 	 Na(aq) 	 S(aq) 	 Cl(aq)
1.291 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.301 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.311 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.321 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.331 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.341 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.351 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.361 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.371 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.381 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.391 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.401 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.411 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.421 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.431 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.441 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.451 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.461 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.471 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
1.481 	 1.4e+21 	 0 	 0 	 0 	 8.43461 	 -49.5676 	 0 	 0.00283346 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0
