Time (Gyr) 	 Tmantle (K) 	 Ra 	 Visc (Pa s) 	 Heat flux (mW m-2) 	 Lithospheric thickness (km) 	 Frank-Kamenetskii parameter 	 Outgassing flux (mol C s-1) 	 Convective velocity (m yr-1) 	 Convective timescale (s) 	 Crustal thickness (m) 	 Crust generation timescale (s) 	 Stagnant lid?
0.6002 	 1503.22 	 1.68637e+09 	 4.17919e+19 	 188.095 	 27.6634 	 25.6424 	 1.69756e+07 	 0.101812 	 8.53858e+14 	 533.251 	 6.31152e+12 	 0
0.6004 	 1503.2 	 1.66995e+09 	 4.22022e+19 	 187.479 	 27.7538 	 25.6426 	 1.66912e+07 	 0.101315 	 8.58046e+14 	 1057.66 	 1.27294e+13 	 0
0.6006 	 1503.18 	 1.66499e+09 	 4.23272e+19 	 187.291 	 27.7813 	 25.6428 	 1.66075e+07 	 0.101165 	 8.59322e+14 	 1579.53 	 1.91029e+13 	 0
0.6008 	 1503.17 	 1.66326e+09 	 4.23708e+19 	 187.223 	 27.791 	 25.643 	 1.65806e+07 	 0.101112 	 8.5977e+14 	 2100.64 	 2.54423e+13 	 0
0.601 	 1503.15 	 1.66243e+09 	 4.23913e+19 	 187.189 	 27.7956 	 25.6433 	 1.65679e+07 	 0.101087 	 8.59985e+14 	 2621.44 	 3.1769e+13 	 0
0.611 	 1502.23 	 1.6618e+09 	 4.24054e+19 	 187.022 	 27.7991 	 25.6427 	 1.65611e+07 	 0.101068 	 8.60147e+14 	 28655.2 	 3.47353e+14 	 0
0.621 	 1501.29 	 1.64376e+09 	 4.28376e+19 	 186.196 	 27.9004 	 25.6542 	 1.63847e+07 	 0.100518 	 8.64853e+14 	 54630.7 	 6.63708e+14 	 0
0.631 	 1500.36 	 1.62066e+09 	 4.3414e+19 	 185.173 	 28.0324 	 25.6661 	 1.61232e+07 	 0.0998088 	 8.70997e+14 	 80409.5 	 9.84348e+14 	 0
0.641 	 1499.44 	 1.59655e+09 	 4.40349e+19 	 184.107 	 28.1728 	 25.6778 	 1.58427e+07 	 0.0990636 	 8.77549e+14 	 105955 	 1.30892e+15 	 0
0.651 	 1498.55 	 1.54612e+09 	 4.54353e+19 	 182.011 	 28.4758 	 25.6894 	 1.54307e+07 	 0.0974864 	 8.91746e+14 	 131046 	 1.64818e+15 	 0
0.661 	 1497.68 	 1.51616e+09 	 4.62984e+19 	 180.694 	 28.6622 	 25.7005 	 1.50367e+07 	 0.0965373 	 9.00514e+14 	 155701 	 1.99295e+15 	 0
0.671 	 1496.82 	 1.49243e+09 	 4.69996e+19 	 179.615 	 28.8133 	 25.7114 	 1.47474e+07 	 0.095779 	 9.07643e+14 	 180080 	 2.33106e+15 	 0
0.681 	 1495.96 	 1.47085e+09 	 4.76544e+19 	 178.616 	 28.9535 	 25.7222 	 1.44926e+07 	 0.095084 	 9.14277e+14 	 204233 	 2.66841e+15 	 0
0.691 	 1495.14 	 1.42716e+09 	 4.90771e+19 	 176.705 	 29.246 	 25.7328 	 1.41385e+07 	 0.093661 	 9.28168e+14 	 227988 	 3.02879e+15 	 0
0.701 	 1494.33 	 1.4013e+09 	 4.99478e+19 	 175.51 	 29.4248 	 25.7431 	 1.38021e+07 	 0.0928086 	 9.36692e+14 	 251363 	 3.3935e+15 	 0
0.711 	 1493.53 	 1.38092e+09 	 5.06499e+19 	 174.536 	 29.5688 	 25.7532 	 1.35558e+07 	 0.0921313 	 9.43579e+14 	 274503 	 3.74362e+15 	 0
0.721 	 1492.74 	 1.3624e+09 	 5.13032e+19 	 173.634 	 29.7022 	 25.7631 	 1.33393e+07 	 0.0915115 	 9.4997e+14 	 297453 	 4.09024e+15 	 0
0.731 	 1491.97 	 1.32447e+09 	 5.27359e+19 	 171.894 	 29.9831 	 25.773 	 1.30366e+07 	 0.0902286 	 9.63476e+14 	 320057 	 4.46827e+15 	 0
0.741 	 1491.22 	 1.30198e+09 	 5.36117e+19 	 170.805 	 30.1548 	 25.7826 	 1.27472e+07 	 0.0894591 	 9.71764e+14 	 342331 	 4.85016e+15 	 0
0.751 	 1490.46 	 1.28427e+09 	 5.43155e+19 	 169.917 	 30.2927 	 25.7919 	 1.25349e+07 	 0.0888487 	 9.7844e+14 	 364401 	 5.2104e+15 	 0
0.761 	 1489.72 	 1.26818e+09 	 5.49691e+19 	 169.096 	 30.4203 	 25.8012 	 1.23491e+07 	 0.0882904 	 9.84627e+14 	 386310 	 5.5644e+15 	 0
0.771 	 1488.97 	 1.25275e+09 	 5.56104e+19 	 168.299 	 30.5447 	 25.8105 	 1.21728e+07 	 0.0877516 	 9.90673e+14 	 408070 	 5.918e+15 	 0
0.781 	 1488.26 	 1.22019e+09 	 5.70572e+19 	 166.724 	 30.814 	 25.8197 	 1.19172e+07 	 0.0866036 	 1.0038e+15 	 429535 	 6.31516e+15 	 0
0.791 	 1487.55 	 1.20076e+09 	 5.79444e+19 	 165.733 	 30.9793 	 25.8286 	 1.16705e+07 	 0.0859114 	 1.01189e+15 	 450712 	 6.71628e+15 	 0
0.801 	 1486.84 	 1.18544e+09 	 5.86568e+19 	 164.924 	 31.1122 	 25.8374 	 1.14891e+07 	 0.0853618 	 1.01841e+15 	 471715 	 7.08763e+15 	 0
0.811 	 1486.14 	 1.17152e+09 	 5.93177e+19 	 164.176 	 31.235 	 25.8461 	 1.13304e+07 	 0.0848589 	 1.02444e+15 	 492581 	 7.44983e+15 	 0
0.821 	 1485.44 	 1.15814e+09 	 5.99661e+19 	 163.449 	 31.3547 	 25.8547 	 1.11791e+07 	 0.0843732 	 1.03034e+15 	 513320 	 7.81104e+15 	 0
0.831 	 1484.76 	 1.12982e+09 	 6.14314e+19 	 162.009 	 31.6146 	 25.8634 	 1.09594e+07 	 0.0833349 	 1.04318e+15 	 533800 	 8.22517e+15 	 0
0.841 	 1484.08 	 1.11281e+09 	 6.23332e+19 	 161.098 	 31.7748 	 25.8718 	 1.0746e+07 	 0.0827054 	 1.05112e+15 	 554028 	 8.64349e+15 	 0
0.851 	 1483.41 	 1.09939e+09 	 6.30572e+19 	 160.354 	 31.9036 	 25.88 	 1.05888e+07 	 0.0822051 	 1.05751e+15 	 574104 	 9.02458e+15 	 0
0.861 	 1482.74 	 1.08718e+09 	 6.37283e+19 	 159.664 	 32.0226 	 25.8883 	 1.04506e+07 	 0.0817472 	 1.06344e+15 	 594060 	 9.39424e+15 	 0
0.871 	 1482.08 	 1.07543e+09 	 6.43865e+19 	 158.995 	 32.1388 	 25.8965 	 1.03198e+07 	 0.0813046 	 1.06923e+15 	 613907 	 9.76119e+15 	 0
0.881 	 1481.41 	 1.06393e+09 	 6.50446e+19 	 158.334 	 32.2542 	 25.9047 	 1.01919e+07 	 0.0808686 	 1.07499e+15 	 633649 	 1.01291e+16 	 0
0.891 	 1480.76 	 1.03944e+09 	 6.65376e+19 	 157.02 	 32.5055 	 25.9129 	 1.00037e+07 	 0.0799324 	 1.08758e+15 	 653164 	 1.05621e+16 	 0
0.901 	 1480.12 	 1.0246e+09 	 6.7463e+19 	 156.181 	 32.6617 	 25.9208 	 9.82031e+06 	 0.0793598 	 1.09543e+15 	 672457 	 1.09993e+16 	 0
0.911 	 1479.48 	 1.01285e+09 	 6.82072e+19 	 155.494 	 32.7875 	 25.9286 	 9.68474e+06 	 0.0789034 	 1.10177e+15 	 691618 	 1.1391e+16 	 0
0.921 	 1478.85 	 1.00214e+09 	 6.88971e+19 	 154.857 	 32.9039 	 25.9365 	 9.56502e+06 	 0.0784852 	 1.10764e+15 	 710674 	 1.1769e+16 	 0
0.931 	 1478.21 	 9.91839e+08 	 6.95738e+19 	 154.238 	 33.0174 	 25.9443 	 9.45112e+06 	 0.0780807 	 1.11338e+15 	 729634 	 1.21438e+16 	 0
0.941 	 1477.59 	 9.70166e+08 	 7.10871e+19 	 153.022 	 33.2615 	 25.9521 	 9.28529e+06 	 0.0772229 	 1.12574e+15 	 748392 	 1.25906e+16 	 0
0.951 	 1476.97 	 9.56927e+08 	 7.20311e+19 	 152.24 	 33.4142 	 25.9597 	 9.12352e+06 	 0.0766942 	 1.1335e+15 	 766951 	 1.30413e+16 	 0
0.961 	 1476.36 	 9.46412e+08 	 7.27917e+19 	 151.598 	 33.5375 	 25.9672 	 9.00304e+06 	 0.0762717 	 1.13978e+15 	 785391 	 1.34412e+16 	 0
0.971 	 1475.74 	 9.36822e+08 	 7.34969e+19 	 151.002 	 33.6515 	 25.9747 	 8.89692e+06 	 0.0758843 	 1.1456e+15 	 803738 	 1.38246e+16 	 0
0.981 	 1475.13 	 9.27583e+08 	 7.41885e+19 	 150.422 	 33.7629 	 25.9822 	 8.79586e+06 	 0.0755091 	 1.15129e+15 	 822001 	 1.4204e+16 	 0
0.991 	 1474.51 	 9.18513e+08 	 7.48804e+19 	 149.848 	 33.8737 	 25.9897 	 8.6972e+06 	 0.075139 	 1.15696e+15 	 840182 	 1.45832e+16 	 0
1.001 	 1473.91 	 8.99482e+08 	 7.6422e+19 	 148.727 	 34.1109 	 25.9972 	 8.55233e+06 	 0.0743566 	 1.16914e+15 	 858182 	 1.50453e+16 	 0
1.011 	 1473.32 	 8.87718e+08 	 7.73934e+19 	 147.997 	 34.2609 	 26.0045 	 8.41031e+06 	 0.0738687 	 1.17686e+15 	 876004 	 1.55119e+16 	 0
1.021 	 1472.72 	 8.78327e+08 	 7.81794e+19 	 147.395 	 34.3826 	 26.0117 	 8.30423e+06 	 0.073477 	 1.18313e+15 	 893719 	 1.59205e+16 	 0
1.031 	 1472.13 	 8.69745e+08 	 7.8909e+19 	 146.836 	 34.4953 	 26.0189 	 8.20983e+06 	 0.0731171 	 1.18896e+15 	 911351 	 1.63117e+16 	 0
1.041 	 1471.53 	 8.61471e+08 	 7.96247e+19 	 146.291 	 34.6054 	 26.0261 	 8.12022e+06 	 0.0727685 	 1.19465e+15 	 928907 	 1.66975e+16 	 0
1.051 	 1470.95 	 8.44425e+08 	 8.11879e+19 	 145.244 	 34.8367 	 26.0334 	 7.99058e+06 	 0.072045 	 1.20665e+15 	 946298 	 1.7171e+16 	 0
1.061 	 1470.37 	 8.33786e+08 	 8.21811e+19 	 144.557 	 34.9842 	 26.0404 	 7.86339e+06 	 0.0715897 	 1.21433e+15 	 963527 	 1.76489e+16 	 0
1.071 	 1469.79 	 8.25256e+08 	 8.29875e+19 	 143.988 	 35.1043 	 26.0474 	 7.76789e+06 	 0.0712225 	 1.22058e+15 	 980659 	 1.8064e+16 	 0
1.081 	 1469.21 	 8.1745e+08 	 8.37366e+19 	 143.458 	 35.2157 	 26.0544 	 7.68274e+06 	 0.0708849 	 1.2264e+15 	 997715 	 1.846e+16 	 0
1.091 	 1468.64 	 8.09917e+08 	 8.44717e+19 	 142.942 	 35.3246 	 26.0614 	 7.60184e+06 	 0.0705575 	 1.23209e+15 	 1.0147e+06 	 1.88498e+16 	 0
1.101 	 1468.06 	 8.0251e+08 	 8.52071e+19 	 142.431 	 35.4329 	 26.0684 	 7.52272e+06 	 0.0702341 	 1.23776e+15 	 1.03162e+06 	 1.9239e+16 	 0
1.111 	 1467.49 	 7.87362e+08 	 8.68001e+19 	 141.456 	 35.6587 	 26.0755 	 7.40802e+06 	 0.0695681 	 1.24961e+15 	 1.0484e+06 	 1.97246e+16 	 0
1.121 	 1466.92 	 7.77783e+08 	 8.78243e+19 	 140.809 	 35.8045 	 26.0823 	 7.29467e+06 	 0.0691437 	 1.25728e+15 	 1.06502e+06 	 2.02164e+16 	 0
1.131 	 1466.36 	 7.70055e+08 	 8.86606e+19 	 140.27 	 35.9239 	 26.0891 	 7.20887e+06 	 0.0687993 	 1.26358e+15 	 1.08156e+06 	 2.06402e+16 	 0
1.141 	 1465.8 	 7.62967e+08 	 8.94388e+19 	 139.767 	 36.0348 	 26.0959 	 7.13244e+06 	 0.0684819 	 1.26943e+15 	 1.09803e+06 	 2.10423e+16 	 0
1.151 	 1465.23 	 7.56121e+08 	 9.02027e+19 	 139.277 	 36.1432 	 26.1027 	 7.05943e+06 	 0.068174 	 1.27517e+15 	 1.11443e+06 	 2.14384e+16 	 0
1.161 	 1464.66 	 7.49385e+08 	 9.0967e+19 	 138.791 	 36.2512 	 26.1096 	 6.988e+06 	 0.0678697 	 1.28088e+15 	 1.13077e+06 	 2.18336e+16 	 0
1.171 	 1464.11 	 7.35838e+08 	 9.25933e+19 	 137.88 	 36.4723 	 26.1164 	 6.88541e+06 	 0.0672534 	 1.29262e+15 	 1.14698e+06 	 2.23317e+16 	 0
1.181 	 1463.56 	 7.27163e+08 	 9.36509e+19 	 137.267 	 36.6168 	 26.1231 	 6.7844e+06 	 0.0668558 	 1.30031e+15 	 1.16306e+06 	 2.28345e+16 	 0
1.191 	 1463 	 7.20122e+08 	 9.45192e+19 	 136.755 	 36.7357 	 26.1297 	 6.7069e+06 	 0.0665313 	 1.30665e+15 	 1.17905e+06 	 2.32667e+16 	 0
1.201 	 1462.45 	 7.1365e+08 	 9.53287e+19 	 136.275 	 36.8464 	 26.1364 	 6.63765e+06 	 0.0662317 	 1.31256e+15 	 1.19498e+06 	 2.36754e+16 	 0
1.211 	 1461.9 	 7.07393e+08 	 9.61236e+19 	 135.808 	 36.9547 	 26.143 	 6.57143e+06 	 0.0659407 	 1.31835e+15 	 1.21085e+06 	 2.40775e+16 	 0
1.221 	 1461.34 	 7.01236e+08 	 9.6919e+19 	 135.344 	 37.0626 	 26.1497 	 6.50661e+06 	 0.0656531 	 1.32413e+15 	 1.22666e+06 	 2.44784e+16 	 0
1.231 	 1460.8 	 6.89066e+08 	 9.85798e+19 	 134.49 	 37.2795 	 26.1564 	 6.4147e+06 	 0.0650809 	 1.33577e+15 	 1.24235e+06 	 2.4987e+16 	 0
1.241 	 1460.26 	 6.81175e+08 	 9.96724e+19 	 133.909 	 37.4229 	 26.1629 	 6.32349e+06 	 0.0647072 	 1.34349e+15 	 1.25792e+06 	 2.55027e+16 	 0
1.251 	 1459.71 	 6.7473e+08 	 1.00575e+20 	 133.419 	 37.5417 	 26.1694 	 6.25318e+06 	 0.0644003 	 1.34989e+15 	 1.27341e+06 	 2.59427e+16 	 0
1.261 	 1459.17 	 6.68793e+08 	 1.01417e+20 	 132.961 	 37.6524 	 26.1759 	 6.19018e+06 	 0.0641164 	 1.35586e+15 	 1.28884e+06 	 2.63577e+16 	 0
1.271 	 1458.63 	 6.6305e+08 	 1.02245e+20 	 132.513 	 37.7608 	 26.1825 	 6.13013e+06 	 0.0638405 	 1.36172e+15 	 1.30422e+06 	 2.67644e+16 	 0
1.281 	 1458.08 	 6.57395e+08 	 1.03074e+20 	 132.07 	 37.8688 	 26.189 	 6.07105e+06 	 0.0635677 	 1.36757e+15 	 1.31954e+06 	 2.71709e+16 	 0
1.291 	 1457.55 	 6.46418e+08 	 1.0477e+20 	 131.266 	 38.082 	 26.1955 	 5.98787e+06 	 0.0630347 	 1.37913e+15 	 1.33475e+06 	 2.76911e+16 	 0
1.301 	 1457.01 	 6.39212e+08 	 1.059e+20 	 130.713 	 38.2245 	 26.2019 	 5.90569e+06 	 0.0626824 	 1.38688e+15 	 1.34985e+06 	 2.82166e+16 	 0
1.311 	 1456.48 	 6.3329e+08 	 1.06838e+20 	 130.245 	 38.3433 	 26.2083 	 5.84166e+06 	 0.0623914 	 1.39335e+15 	 1.36488e+06 	 2.86641e+16 	 0
1.321 	 1455.95 	 6.27823e+08 	 1.07716e+20 	 129.805 	 38.4543 	 26.2147 	 5.78412e+06 	 0.0621215 	 1.39941e+15 	 1.37985e+06 	 2.90851e+16 	 0
1.331 	 1455.41 	 6.2253e+08 	 1.08578e+20 	 129.376 	 38.563 	 26.2211 	 5.72898e+06 	 0.0618591 	 1.40534e+15 	 1.39477e+06 	 2.94984e+16 	 0
1.341 	 1454.88 	 6.17317e+08 	 1.09441e+20 	 128.95 	 38.6712 	 26.2275 	 5.67494e+06 	 0.0615995 	 1.41126e+15 	 1.40964e+06 	 2.99101e+16 	 0
1.351 	 1454.35 	 6.0738e+08 	 1.11176e+20 	 128.192 	 38.881 	 26.2339 	 5.59986e+06 	 0.0611017 	 1.42276e+15 	 1.42441e+06 	 3.04387e+16 	 0
1.361 	 1453.83 	 6.00776e+08 	 1.12343e+20 	 127.664 	 39.0229 	 26.2402 	 5.52508e+06 	 0.0607686 	 1.43056e+15 	 1.43907e+06 	 3.09757e+16 	 0
1.371 	 1453.3 	 5.95317e+08 	 1.13319e+20 	 127.215 	 39.1418 	 26.2465 	 5.46659e+06 	 0.0604919 	 1.4371e+15 	 1.45367e+06 	 3.14301e+16 	 0
1.381 	 1452.77 	 5.90266e+08 	 1.14233e+20 	 126.793 	 39.2532 	 26.2528 	 5.41387e+06 	 0.0602347 	 1.44324e+15 	 1.46821e+06 	 3.18567e+16 	 0
1.391 	 1452.25 	 5.85372e+08 	 1.15132e+20 	 126.38 	 39.3622 	 26.259 	 5.3633e+06 	 0.0599845 	 1.44926e+15 	 1.48271e+06 	 3.22753e+16 	 0
1.401 	 1451.72 	 5.80551e+08 	 1.16032e+20 	 125.971 	 39.4709 	 26.2653 	 5.31372e+06 	 0.059737 	 1.45526e+15 	 1.49716e+06 	 3.2692e+16 	 0
1.411 	 1451.19 	 5.75774e+08 	 1.16938e+20 	 125.563 	 39.5797 	 26.2716 	 5.26475e+06 	 0.0594907 	 1.46129e+15 	 1.51157e+06 	 3.31091e+16 	 0
1.421 	 1450.67 	 5.66829e+08 	 1.18724e+20 	 124.849 	 39.7869 	 26.2779 	 5.197e+06 	 0.0590268 	 1.47277e+15 	 1.52588e+06 	 3.36504e+16 	 0
1.431 	 1450.15 	 5.60805e+08 	 1.19941e+20 	 124.346 	 39.9288 	 26.2841 	 5.12962e+06 	 0.0587123 	 1.48066e+15 	 1.54009e+06 	 3.41995e+16 	 0
1.441 	 1449.63 	 5.55793e+08 	 1.20965e+20 	 123.915 	 40.0485 	 26.2903 	 5.07651e+06 	 0.0584493 	 1.48732e+15 	 1.55424e+06 	 3.46624e+16 	 0
1.451 	 1449.12 	 5.51143e+08 	 1.21927e+20 	 123.509 	 40.1608 	 26.2965 	 5.02828e+06 	 0.0582043 	 1.49358e+15 	 1.56834e+06 	 3.50975e+16 	 0
1.461 	 1448.6 	 5.46636e+08 	 1.22873e+20 	 123.112 	 40.2709 	 26.3027 	 4.98217e+06 	 0.0579658 	 1.49973e+15 	 1.5824e+06 	 3.55225e+16 	 0
1.471 	 1448.08 	 5.42195e+08 	 1.2382e+20 	 122.718 	 40.3805 	 26.3089 	 4.93674e+06 	 0.0577299 	 1.50586e+15 	 1.59641e+06 	 3.59469e+16 	 0
1.481 	 1447.56 	 5.3404e+08 	 1.25648e+20 	 122.042 	 40.585 	 26.3151 	 4.87495e+06 	 0.0572941 	 1.51731e+15 	 1.61034e+06 	 3.64967e+16 	 0
1.491 	 1447.05 	 5.28489e+08 	 1.26907e+20 	 121.559 	 40.7266 	 26.3212 	 4.81346e+06 	 0.0569956 	 1.52526e+15 	 1.62417e+06 	 3.70545e+16 	 0
1.501 	 1446.54 	 5.23845e+08 	 1.27971e+20 	 121.145 	 40.8466 	 26.3272 	 4.76468e+06 	 0.0567446 	 1.53201e+15 	 1.63794e+06 	 3.75234e+16 	 0
1.511 	 1446.03 	 5.19528e+08 	 1.28973e+20 	 120.753 	 40.9594 	 26.3333 	 4.72027e+06 	 0.0565103 	 1.53836e+15 	 1.65167e+06 	 3.79636e+16 	 0
1.521 	 1445.51 	 5.15341e+08 	 1.29959e+20 	 120.37 	 41.0701 	 26.3394 	 4.67758e+06 	 0.0562821 	 1.5446e+15 	 1.66536e+06 	 3.83946e+16 	 0
1.531 	 1445 	 5.11214e+08 	 1.30946e+20 	 119.991 	 41.1803 	 26.3455 	 4.6359e+06 	 0.0560563 	 1.55082e+15 	 1.67901e+06 	 3.88219e+16 	 0
1.541 	 1444.49 	 5.03762e+08 	 1.32817e+20 	 119.348 	 41.3824 	 26.3516 	 4.57925e+06 	 0.0556462 	 1.56225e+15 	 1.69257e+06 	 3.93807e+16 	 0
1.551 	 1443.99 	 4.98635e+08 	 1.34119e+20 	 118.886 	 41.5237 	 26.3576 	 4.52299e+06 	 0.0553623 	 1.57026e+15 	 1.70605e+06 	 3.99464e+16 	 0
1.561 	 1443.48 	 4.94322e+08 	 1.35226e+20 	 118.486 	 41.6441 	 26.3635 	 4.47791e+06 	 0.0551224 	 1.57709e+15 	 1.71948e+06 	 4.04224e+16 	 0
1.571 	 1442.98 	 4.90306e+08 	 1.36269e+20 	 118.108 	 41.7575 	 26.3695 	 4.43694e+06 	 0.054898 	 1.58354e+15 	 1.73286e+06 	 4.08672e+16 	 0
1.581 	 1442.47 	 4.86407e+08 	 1.37296e+20 	 117.739 	 41.8688 	 26.3755 	 4.39751e+06 	 0.0546793 	 1.58987e+15 	 1.7462e+06 	 4.13024e+16 	 0
1.591 	 1441.97 	 4.82565e+08 	 1.38323e+20 	 117.372 	 41.9796 	 26.3815 	 4.35882e+06 	 0.0544629 	 1.59619e+15 	 1.7595e+06 	 4.17353e+16 	 0
1.601 	 1441.47 	 4.75735e+08 	 1.40241e+20 	 116.761 	 42.1796 	 26.3875 	 4.30692e+06 	 0.0540761 	 1.60761e+15 	 1.77273e+06 	 4.2301e+16 	 0
1.611 	 1440.97 	 4.70989e+08 	 1.41588e+20 	 116.317 	 42.3208 	 26.3934 	 4.25516e+06 	 0.0538057 	 1.61569e+15 	 1.78587e+06 	 4.28757e+16 	 0
1.621 	 1440.47 	 4.66976e+08 	 1.42737e+20 	 115.931 	 42.4416 	 26.3993 	 4.21358e+06 	 0.053576 	 1.62261e+15 	 1.79897e+06 	 4.33569e+16 	 0
1.631 	 1439.97 	 4.63233e+08 	 1.43823e+20 	 115.566 	 42.5557 	 26.4052 	 4.17552e+06 	 0.0533608 	 1.62916e+15 	 1.81202e+06 	 4.38076e+16 	 0
1.641 	 1439.47 	 4.59596e+08 	 1.44893e+20 	 115.209 	 42.6676 	 26.411 	 4.13904e+06 	 0.053151 	 1.63559e+15 	 1.82504e+06 	 4.42467e+16 	 0
1.651 	 1438.97 	 4.56012e+08 	 1.45963e+20 	 114.854 	 42.7791 	 26.4169 	 4.10323e+06 	 0.0529433 	 1.642e+15 	 1.83802e+06 	 4.46832e+16 	 0
1.661 	 1438.48 	 4.49736e+08 	 1.47928e+20 	 114.271 	 42.9772 	 26.4228 	 4.0554e+06 	 0.0525777 	 1.65342e+15 	 1.85092e+06 	 4.5257e+16 	 0
1.671 	 1437.98 	 4.45333e+08 	 1.49321e+20 	 113.844 	 43.1184 	 26.4286 	 4.00798e+06 	 0.0523197 	 1.66158e+15 	 1.86376e+06 	 4.58366e+16 	 0
1.681 	 1437.49 	 4.41593e+08 	 1.50516e+20 	 113.472 	 43.2397 	 26.4344 	 3.96939e+06 	 0.0520996 	 1.6686e+15 	 1.87654e+06 	 4.63242e+16 	 0
1.691 	 1437 	 4.38097e+08 	 1.51646e+20 	 113.119 	 43.3544 	 26.4402 	 3.93415e+06 	 0.0518929 	 1.67524e+15 	 1.88928e+06 	 4.67788e+16 	 0
1.701 	 1436.5 	 4.347e+08 	 1.5276e+20 	 112.773 	 43.4671 	 26.446 	 3.90018e+06 	 0.0516914 	 1.68177e+15 	 1.90199e+06 	 4.72232e+16 	 0
1.711 	 1436.01 	 4.31351e+08 	 1.53874e+20 	 112.43 	 43.5793 	 26.4518 	 3.86697e+06 	 0.0514918 	 1.68829e+15 	 1.91467e+06 	 4.76629e+16 	 0
1.721 	 1435.52 	 4.25569e+08 	 1.55889e+20 	 111.873 	 43.7758 	 26.4576 	 3.82295e+06 	 0.0511456 	 1.69972e+15 	 1.92728e+06 	 4.82425e+16 	 0
1.731 	 1435.04 	 4.21477e+08 	 1.5733e+20 	 111.462 	 43.917 	 26.4634 	 3.77912e+06 	 0.0508991 	 1.70795e+15 	 1.93982e+06 	 4.88299e+16 	 0
1.741 	 1434.55 	 4.17985e+08 	 1.5857e+20 	 111.102 	 44.0389 	 26.4691 	 3.7434e+06 	 0.0506878 	 1.71507e+15 	 1.95231e+06 	 4.93218e+16 	 0
1.751 	 1434.06 	 4.14717e+08 	 1.59746e+20 	 110.76 	 44.1543 	 26.4748 	 3.71055e+06 	 0.0504893 	 1.72181e+15 	 1.96476e+06 	 4.97817e+16 	 0
1.761 	 1433.57 	 4.11539e+08 	 1.60905e+20 	 110.425 	 44.2677 	 26.4805 	 3.67901e+06 	 0.0502954 	 1.72845e+15 	 1.97718e+06 	 5.02291e+16 	 0
1.771 	 1433.09 	 4.08405e+08 	 1.62065e+20 	 110.093 	 44.3806 	 26.4862 	 3.64804e+06 	 0.0501035 	 1.73507e+15 	 1.98957e+06 	 5.06735e+16 	 0
1.781 	 1432.6 	 4.03066e+08 	 1.64133e+20 	 109.561 	 44.5757 	 26.4919 	 3.60257e+06 	 0.049775 	 1.74652e+15 	 2.00188e+06 	 5.13237e+16 	 0
1.791 	 1432.12 	 3.99256e+08 	 1.65623e+20 	 109.164 	 44.7171 	 26.4975 	 3.55691e+06 	 0.0495392 	 1.75484e+15 	 2.01411e+06 	 5.199e+16 	 0
1.801 	 1431.64 	 3.95992e+08 	 1.66911e+20 	 108.816 	 44.8396 	 26.5031 	 3.5186e+06 	 0.0493363 	 1.76205e+15 	 2.02627e+06 	 5.25614e+16 	 0
1.811 	 1431.16 	 3.92932e+08 	 1.68133e+20 	 108.485 	 44.9557 	 26.5087 	 3.4832e+06 	 0.0491453 	 1.7689e+15 	 2.03839e+06 	 5.30983e+16 	 0
1.821 	 1430.68 	 3.89955e+08 	 1.69339e+20 	 108.16 	 45.0698 	 26.5143 	 3.44915e+06 	 0.0489587 	 1.77564e+15 	 2.05046e+06 	 5.36226e+16 	 0
1.831 	 1430.2 	 3.87019e+08 	 1.70545e+20 	 107.838 	 45.1835 	 26.52 	 3.41544e+06 	 0.0487741 	 1.78236e+15 	 2.06248e+06 	 5.4149e+16 	 0
1.841 	 1429.72 	 3.82078e+08 	 1.72668e+20 	 107.329 	 45.3774 	 26.5256 	 3.37339e+06 	 0.0484618 	 1.79385e+15 	 2.07442e+06 	 5.48176e+16 	 0
1.851 	 1429.25 	 3.78526e+08 	 1.74209e+20 	 106.946 	 45.5189 	 26.5311 	 3.33113e+06 	 0.0482359 	 1.80225e+15 	 2.08628e+06 	 5.55035e+16 	 0
1.861 	 1428.77 	 3.75471e+08 	 1.75546e+20 	 106.609 	 45.642 	 26.5366 	 3.29572e+06 	 0.0480409 	 1.80956e+15 	 2.09809e+06 	 5.60884e+16 	 0
1.871 	 1428.3 	 3.72602e+08 	 1.76817e+20 	 106.288 	 45.7589 	 26.5422 	 3.26294e+06 	 0.047857 	 1.81652e+15 	 2.10984e+06 	 5.66378e+16 	 0
1.881 	 1427.82 	 3.69811e+08 	 1.7807e+20 	 105.973 	 45.8737 	 26.5477 	 3.23118e+06 	 0.0476774 	 1.82336e+15 	 2.12155e+06 	 5.71777e+16 	 0
1.891 	 1427.34 	 3.67057e+08 	 1.79324e+20 	 105.661 	 45.9881 	 26.5532 	 3.19994e+06 	 0.0474996 	 1.83019e+15 	 2.13321e+06 	 5.77162e+16 	 0
1.901 	 1426.87 	 3.62476e+08 	 1.81504e+20 	 105.172 	 46.1811 	 26.5587 	 3.16098e+06 	 0.0472022 	 1.84172e+15 	 2.1448e+06 	 5.84042e+16 	 0
1.911 	 1426.4 	 3.59158e+08 	 1.83098e+20 	 104.802 	 46.3229 	 26.5642 	 3.12202e+06 	 0.0469857 	 1.8502e+15 	 2.15632e+06 	 5.91067e+16 	 0
1.921 	 1425.93 	 3.56295e+08 	 1.84485e+20 	 104.476 	 46.4466 	 26.5696 	 3.08903e+06 	 0.0467981 	 1.85762e+15 	 2.16777e+06 	 5.97093e+16 	 0
